Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
626,"Bascom",34.6,-10.4,-57.8,
627,"Bashkirtseff",36.2,14.7,-166,
630,"Bassi",31,-19,64.6,
632,"Bast Tholus",83,57.8,130.3,
633,"Bastryk Vallis",190,-7.5,-12.5,
635,"Bathkol Tessera",1485,61,-160,
636,"Bathsheba",32.3,-15.1,49.5,
639,"Batten",65,15.2,-142.6,
640,"Batya",9.3,72.7,-124.6,
642,"Bau Corona",355,52.8,-100.7,
645,"Bayara Vallis",500,45.6,16.5,
650,"Ba'het Corona",145,48.4,0.1,
657,"Beecher",40.4,13,-106.6,
663,"Behn",25.4,-32.4,142,
665,"Beiwe Corona",600,52.6,-53.5,
668,"Belet-Ili Corona",300,6,20,
671,"Belisama Vallis",220,50,22.5,
673,"Bell Regio",1778,32.8,51.4,
676,"Bellona Fossae",855,38,-137.9,
685,"Ben Dorsa",628,71.2,-75.9,
688,"Bender",39.8,-13,-32.6,
691,"Bennu Vallis",710,1.3,-18.8,
692,"Benten Corona",310,16,-20,
695,"Benzozia Corona",185,27.5,-155.5,
697,"Bereghinya Planitia",3900,28.6,23.6,
699,"Berggolts",29.5,-63.5,53,
704,"Bernadette",12.8,-46.6,-74.4,
706,"Bernhardt",25.3,31.6,84.4,
707,"Bernice",12.6,-40.7,14.8,
711,"Bers Patera",17,-66.7,-177,
713,"Berta",20,62,-38,
714,"Beruth Corona",350,-19,-126.5,
721,"Beta Regio",2869,25.3,-77.2,
722,"Bethune Patera",94,46.5,-38.7,
723,"Bette",7.2,-24.6,-12.1,
725,"Beyla Corona",400,26.5,15.5,
726,"Bezlea Dorsa",807,30.4,36.5,
731,"Bhumidevi Corona",150,-17.2,-16.4,
732,"Bhumiya Corona",100,15,118,
736,"Bibi-Patma Corona",450,-47,-58,
738,"Bickerdyke",36.3,-82,171.3,
743,"Bil Corona",225,3,168,
746,"Biliku Dorsa",600,-47,138,
748,"Bineta",10.7,57.3,144.1,
756,"Birute",22.3,36.1,32,
763,"Blackburne",30.5,11,-176.1,
766,"Blai Corona",125,-0.4,134.5,
769,"Blanche",12.3,-9.3,157,
772,"Blathnat Corona",300,35,-66.2,
775,"Blid Corona",175,-0.5,-128.7,
778,"Blixen",20.8,-60.1,145.7,
782,"Bly",18.7,37.7,-54.5,
783,"Boadicea Paterae",220,56.6,96.5,
784,"Boala Corona",220,-70,-1,
785,"Boann Corona",300,27,136.5,
799,"Boivin",20.4,4.3,-60.5,
803,"Boleyn",70.4,24.4,-139.9,
804,"Bolotnitsa Fluctus",1100,50,160,
810,"Bona Corona",275,-24,157.5,
815,"Bonnevie",92.2,-36.1,127,
816,"Bonnin",28.5,-6.3,117.6,
837,"Boszorkány Dorsa",550,-19.5,105,
841,"Boulanger",71.5,-26.6,99.2,
843,"Bourke-White",33.6,21.2,147.9,
849,"Boyd",22,-39.4,-138.6,
850,"Boye",28,-9.6,-67.7,
856,"Bradstreet",36,16.5,47.7,
863,"Branwen Corona",320,27,35,
870,"Breksta Linea",700,35.9,-56,
871,"Bremer Patera",91,66.8,63.7,
879,"Bridgit",10,-45.3,-11.1,
885,"Britomartis Chasma",1000,-33,130,
891,"Brooke",22.9,48.4,-63.4,
896,"Browning",23.4,28.3,4.9,
902,"Bryce",23.9,-62.5,-163,
903,"Brynhild Fossae",1800,-26,18,
907,"Buck",21.8,-5.7,-10.4,
908,"Budevska",18,0.5,143.2,
912,"Bugoslavskaya",29.9,-23,-59.6,
921,"Bunzi Mons",36,45.8,-5.1,
946,"Bécuma Mons",0,34,21.9,
954,"Caccini",38.1,17.4,170.4,
959,"Cailleach Corona",125,-48,88.3,
962,"Caitlin",14.7,-65.3,12,
963,"Caiwenji",22.6,-12.4,-72.4,
968,"Calakomana Corona",575,6.5,43.5,
971,"Caldwell",51,23.6,112.4,
975,"Callas",33.8,2.4,27,
977,"Callirhoe",33.8,21.2,140.7,
1021,"Carmenta Farra",180,12.4,8,
1025,"Caroline",18,6.9,-53.7,
1027,"Carpo Corona",215,-37.5,3,
1028,"Carr",31.9,-24,-64.3,
1030,"Carreno",57,-3.9,16.1,
1033,"Carson",38.8,-24.2,-15.9,
1036,"Carter",17.5,5.3,67.3,
1043,"Cassatt Corona",152,65.6,-152.4,
1052,"Castro",22.9,3.4,-126.1,
1077,"Cather",24.6,47.1,107,
1082,"Cauteovan Corona",553,31.5,142.9,
1085,"Cavell Corona",100,38.3,18.8,
1090,"Cavillaca Fluctus",800,-72,-20,
1101,"Centlivre",28.8,19.1,-69.6,
1110,"Ceres Corona",675,-16,151.5,
1111,"Cerridwen Corona",217,49.6,-158.2,
1134,"Chang Xi Chasmata",220,-59,17,
1136,"Changko Corona",200,10.9,6.2,
1139,"Chantico Corona",200,-1.7,-145,
1142,"Chapelle",22,6.4,103.8,
1158,"Charykh-Keyok Dorsa",550,54.5,-75,
1159,"Chasca Vallis",400,-52.8,-1,
1168,"Chechek",7.2,-2.6,-87.7,
1172,"Chernava Colles",1000,-10.5,-24.5,
1174,"Cherskaya Patera",85,-5.2,-127.5,
1180,"Chih Nu Dorsum",625,-73,-165,
1182,"Chimon-mana Tessera",1500,-3,-90,
1187,"Chiun Corona",150,18.3,-19.5,
1189,"Chiyojo",40.2,-47.8,95.7,
1191,"Chloe",18.6,-7.4,98.6,
1192,"Chloris Mons",180,-45.4,-65.4,
1194,"Cholpon",6.3,40,-70,
1196,"Chondi Chasma",1000,-18.5,-130,
1201,"Christie",23.3,28.3,72.7,
1209,"Chubado",7,45.3,5.6,
1210,"Chuginadak Mons",450,-38,-114,
1211,"Chuku Corona",380,-23.5,-94.5,
1218,"Cipactli Mons",200,-31.5,-27.5,
1223,"Citlalpul Vallis",3160,-51.8,-173,
1224,"Ciuacoatl Mons",100,53,150.9,
1228,"Clara",3.2,-37.5,-124.7,
1238,"Clementina",4,35.9,-151.4,
1240,"Cleopatra",105,65.8,7.1,
1243,"Clidna Tessera",500,-42,29,
1244,"Cline",38,-21.8,-42.9,
1245,"Clio",11.4,6.3,-26.5,
1248,"Clonia Corona",100,16,167.4,
1250,"Clotho Tessera",289,56.4,-25.1,
1254,"Coatlicue Corona",199,63.2,-87,
1260,"Cochran",100,51.9,143.4,
1262,"Cocomama Tessera",1600,-62,23,
1263,"Codidon Corona",250,-46,56,
1264,"Cohn",18.3,-33.3,-151.9,
1267,"Colette Patera",149,66.3,-37.2,
1268,"Colijnsplaat Corona",350,-32,151,
1269,"Colleen",13.5,-60.8,162.2,
1277,"Comnena",19.5,1.2,-16.3,
1290,"Conway",49.3,48.3,39,
1298,"Copia Corona",500,-42.5,75.5,
1309,"Cori",56.1,25.4,72.9,
1311,"Corinna",19.2,22.9,40.6,
1317,"Corpman",46,0.3,151.8,
1318,"Cortese",27.7,-11.4,-141.6,
1320,"Cotis Tholus",62,44.3,-127,
1321,"Cotton",48.1,70.8,-59.8,
1348,"Cunitz",48.6,14.5,-9.1,
1360,"Cybele Corona",500,-7.5,20.7,
1369,"Cynthia",15.9,-16.7,-12.5,
1379,"Dado",11.2,-13.9,87.6,
