Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
1217,"Cinco",0.07,-9.1,15.52,
1226,"Clairaut",76.89,-47.84,13.86,
1232,"Clark",52.11,-38.67,119.35,
1235,"Clausius",24.2,-36.9,-43.93,
1236,"Clavius",230.77,-58.62,-14.73,
1239,"Cleomedes",130.77,27.6,55.5,
1241,"Cleostratus",63.23,60.32,-77.4,
1242,"Clerke",6.66,21.68,29.8,
1256,"Coblentz",32.66,-38.09,126.65,
1259,"Cochise",0.56,20.25,30.84,
1261,"Cockcroft",92.16,31.09,-162.91,
1271,"Collins",2.58,1.3,23.71,
1273,"Colombo",79.02,-15.26,46.02,
1278,"Compton",164.63,55.86,104.05,
1279,"Comrie",59.25,23.39,-113.17,
1280,"Comstock",73.23,21.59,-122.05,
1285,"Condon",34.85,1.87,60.36,
1286,"Condorcet",74.85,12.1,69.58,
1287,"Cone",0.33,-3.62,-17.43,
1288,"Congreve",57.61,-0.28,-167.84,
1289,"Conon",20.96,21.66,1.95,
1292,"Cook",45.16,-17.5,48.81,
1294,"Cooper",51.87,52.68,175.92,
1296,"Copernicus",96.07,9.62,-20.08,
1308,"Cori",67.22,-50.48,-152.91,
1313,"Coriolis",78.56,0.56,171.8,
1322,"Couder",18.56,-4.9,-92.58,
1323,"Coulomb",89.72,54.46,-115,
1325,"Courtney",1.24,25.14,-30.81,
1329,"Cremona",85.12,67.24,-90.86,
1330,"Crescent",1.98,-3,-23.43,
1333,"Crile",9.3,14.21,45.98,
1336,"Crocco",67.5,-46.98,150.51,
1337,"Crommelin",93.48,-67.46,-147.95,
1339,"Crookes",48.25,-10.4,-165.1,
1340,"Crozier",22.51,-13.56,50.72,
1343,"Crüger",45.94,-16.68,-66.96,
1344,"Ctesibius",32.1,0.83,118.75,
1350,"Curie",138.87,-23.05,92.28,
1352,"Curtis",2.88,14.57,56.79,
1353,"Curtius",99.29,-67.08,4.4,
1354,"Cusanus",60.87,71.82,69.4,
1356,"Cuvier",77.3,-50.29,9.69,
1371,"Cyrano",79.58,-20.37,157.37,
1372,"Cyrillus",98.09,-13.29,24.07,
1373,"Cysatus",47.77,-66.21,-6.34,
1376,"da Vinci",37.46,9.1,44.95,
1381,"Daedalus",93.61,-5.83,179.4,
1385,"Dag",0.36,18.71,5.26,
1388,"Daguerre",45.79,-11.91,33.61,
1389,"Dale",23.41,-9.56,82.93,
1392,"Dalton",60.69,17.07,-84.45,
1393,"Daly",14.96,5.74,59.5,
1396,"Damoiseau",36.66,-4.85,-61.25,
1400,"Daniell",28.2,35.42,31.16,
1402,"Danjon",69.3,-11.42,123.9,
1405,"Dante",53.83,25.36,180,
1415,"Darney",14.81,-14.61,-23.57,
1417,"Darwin",122.18,-19.93,-69.21,
1421,"Das",35.95,-26.49,-137.05,
1424,"Daubrée",14.67,15.73,14.75,
1428,"Davisson",92.46,-37.93,-174.97,
1429,"Davy",33.94,-11.85,-8.15,
1430,"Dawes",17.6,17.21,26.34,
1432,"Dawson",44.32,-66.99,-135.05,
1437,"De Forest",56.26,-76.94,-163.33,
1438,"de Gasparis",30.9,-25.83,-50.83,
1439,"de Gerlache",32.71,-88.48,-88.34,
1440,"De La Rue",135.22,59.02,52.84,
1442,"De Moraes",54.41,49.38,143,
1443,"De Morgan",9.68,3.31,14.89,
1444,"De Roy",43.51,-55.24,-98.99,
1445,"De Sitter",63.79,79.81,38.57,
1448,"De Vico",22.13,-19.71,-60.32,
1449,"De Vries",57.51,-19.68,-176.78,
1452,"Debes",31.92,29.47,51.62,
1454,"Debus",19.77,-10.68,99.68,
1455,"Debye",127.03,49.43,-176.03,
1456,"Dechen",12.04,46.12,-68.18,
1467,"Delambre",51.49,-1.94,17.39,
1468,"Delaunay",44.63,-22.26,2.62,
1470,"Delia",1.57,-10.91,-6.13,
1472,"Delisle",24.83,29.98,-34.68,
1473,"Dellinger",82.04,-6.87,140.7,
1474,"Delmotte",32.16,27.16,60.2,
1477,"Delporte",42.5,-15.89,121.55,
1480,"Deluc",45.69,-55.02,-2.98,
1481,"Dembowski",26.11,2.88,7.27,
1483,"Democritus",37.78,62.31,34.99,
1484,"Demonax",121.93,-78.09,59.36,
1489,"Denning",44.18,-16.26,142.76,
1497,"Desargues",84.85,70.25,-73.42,
1498,"Descartes",47.73,-11.74,15.67,
1501,"Deseilligny",6.01,21.13,20.59,
1502,"Deslandres",227.02,-32.55,-5.57,
1510,"Deutsch",73.33,24.35,110.91,
1515,"Dewar",46.31,-2.61,165.62,
1524,"Diana",1.55,14.29,35.65,
1529,"Diderot",20,-20.42,121.54,
1542,"Dionysius",17.25,2.77,17.29,
1543,"Diophantus",17.57,27.62,-34.3,
1545,"Dirichlet",47.24,10.58,-152.05,
1559,"Dobrovol'skiy",38.4,-12.83,129.68,
1562,"Doerfel",68.63,-68.97,-108.53,
1566,"Dollond",11.04,-10.48,14.41,
1574,"Donati",35.84,-20.69,5.1,
1575,"Donna",1.84,7.22,38.3,
1577,"Donner",55.05,-31.35,97.99,
1579,"Doppelmayer",65.08,-28.48,-41.51,
1580,"Doppler",101.79,-12.58,-159.84,
1585,"Dorsa Aldrovandi",126.81,23.61,28.65,
1586,"Dorsa Andrusov",80.98,-1.56,56.77,
1587,"Dorsa Argand",91.94,28.29,-40.34,
1589,"Dorsa Barlow",112.57,14.04,30.57,
