Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
1122,"Chalce",0,-49.67,0,
1123,"Chalce Fossa",33.97,-51.67,-39.59,
1124,"Chalce Montes",100,-53.72,-37.65,
1125,"Chalcoporos Rupēs",404.98,-55.64,20.57,
1130,"Chamberlin",120.25,-65.84,-124.29,
1137,"Changsŏng",33.54,23.47,-57.34,
1141,"Chapais",36.67,-22.35,-20.55,
1148,"Charis Dorsum",251,-55.86,-41.47,
1149,"Charitum Montes",933.54,-58.1,-40.29,
1152,"Charleston",1.96,22.63,-47.8,
1154,"Charlier",106.28,-68.56,-168.47,
1155,"Charlieu",18.63,38.15,-83.99,
1157,"Charybdis Scopulus",551.26,-24.14,20.08,
1160,"Chasma Australe",352.61,-82.35,95.03,
1161,"Chasma Boreale",459.88,82.54,-47.64,
1162,"Chatturat",7.84,35.38,-94.94,
1164,"Chauk",9.97,23.35,-55.91,
1166,"Cheb",8.28,-24.2,-19.44,
1169,"Chefu",11.27,-22.91,112.24,
1170,"Chekalin",87.78,-24.28,-26.81,
1175,"Chersonesus",0,-49.67,100,
1177,"Chia",91.91,1.57,-59.65,
1179,"Chico Valles",446.35,-66.77,-152.23,
1181,"Chimbote",62.86,-1.42,-39.68,
1183,"Chincoteague",34.03,41.2,124.12,
1185,"Chinju",65.71,-4.52,-42.14,
1186,"Chinook",18.1,22.5,-55.46,
1188,"Chive",9.1,21.68,-56.01,
1193,"Choctaw",23.96,-41.19,-37.24,
1195,"Chom",5.58,38.57,-2.52,
1202,"Chryse",0,9.88,-30,
1203,"Chryse Planitia",1542.44,28.43,-40.31,
1204,"Chrysokeras",0,-49.67,-110,
1212,"Chur",4.39,16.93,-29.31,
1221,"Circle",11.8,-22.17,-25.53,
1227,"Clanis Valles",58,33.24,58.47,
1229,"Claritas",0,-34.68,-110,
1230,"Claritas Fossae",2030.64,-27.89,-104.24,
1231,"Claritas Rupes",952.87,-25.04,-105.26,
1233,"Clark",97.5,-55.14,-133.2,
1234,"Clasia Vallis",147,33.77,57.04,
1237,"Cleia Dorsum",131.69,-54.86,-45.99,
1247,"Clogh",11.2,20.56,-47.67,
1249,"Clota Vallis",114.36,-25.59,-20.5,
1251,"Clova",7.75,21.47,-52.05,
1252,"Cluny",14.84,-23.86,-27.3,
1255,"Cobalt",10.53,-25.79,-27.03,
1257,"Coblentz",101.75,-54.9,-90.31,
1258,"Cobres",93.76,-11.7,-153.6,
1270,"Colles Nili",653.67,38.72,62.88,
1272,"Coloe Fossae",575.89,36.65,56.78,
1274,"Columbus",112.6,-29.29,-165.98,
1275,"Colón",1.36,22.75,-47.07,
1276,"Comas Sola",120.24,-19.59,-158.51,
1283,"Conches",20.89,-4.22,-34.2,
1284,"Concord",20.46,16.53,-34.02,
1291,"Coogoon Valles",300,17.19,-21.74,
1293,"Cooma",17.85,-23.69,-108.35,
1295,"Copais Palus",0,54.68,80,
1297,"Copernicus",301.83,-48.84,-168.83,
1300,"Coprates",0,-14.83,-65,
1301,"Coprates Catena",302.06,-15,-62.09,
1302,"Coprates Chasma",958.31,-13.37,-60.74,
1303,"Coprates Labes",61.97,-11.82,-67.79,
1305,"Coracis Fossae",748.96,-35.82,-80.86,
1307,"Corby",6.62,42.88,137.56,
1315,"Coronae Montes",247.4,-34.31,86.11,
1316,"Coronae Scopulus",245.24,-33.26,64.94,
1319,"Cost",11.07,14.98,104.02,
1326,"Cray",6.98,44.1,-16.12,
1327,"Creel",9.19,-6.05,-38.85,
1332,"Crewe",3.68,-24.84,-19.53,
1335,"Crivitz",6.19,-14.55,174.79,
1338,"Crommelin",110.08,5.08,-10.14,
1341,"Cruls",87.89,-42.91,163.03,
1342,"Cruz",5.33,38.46,-1.97,
1346,"Cue",10.54,-35.84,93.23,
1351,"Curie",111.11,28.78,-4.75,
1355,"Cusus Valles",250.24,14.05,50.37,
1357,"Cyane Catena",204.06,36.25,-118.3,
1358,"Cyane Fossae",913.17,31.25,-121.17,
1359,"Cyane Sulci",335.94,25.4,-128.66,
1362,"Cyclopia",0,-4.94,130,
1363,"Cydnus Rupēs",1550.81,52.53,112.21,
1364,"Cydonia",0,39.67,0,
1365,"Cydonia Colles",362.78,39.07,-12.22,
